var...1,BAIS_mean,var...3,SPPI_mean,var...5,CCLO_mean,var...7,MAGO_mean,var...9,WILL_mean,var...11,mean
DD5_,3.56,DD5_,1.39,DD5_,2.95,DD5_,4.02,DD5_,2.8,DD5_,2.13
DD_0_,4.56,DD_0_,1.81,DD_0_,3.47,DD_0_,4.72,DD_0_,3.23,DD_0_,7.65
MAP_,2.81,MAP_,1.68,MAP_,2.32,MAP_,3.73,MAP_,5.12,MAP_,4.11
MSP_,4.13,MSP_,2.51,MSP_,2.98,MSP_,2.16,MSP_,2.65,MSP_,1.86
MWMT_,4.09,MWMT_,2.96,MWMT_,3.74,MWMT_,6.76,MWMT_,3.73,MWMT_,0.95
NDVIe,1.4,NDVIe,3.09,NDVIe,6.92,NDVIe,16.51,NDVIe,5.42,NDVIe,1.64
NDVIe_25,3.13,NDVIe_25,0.81,NDVIe_25,1.95,NDVIe_25,2.83,NDVIe_25,9.51,NDVIe_25,1.35
NDVIe_9,1.04,NDVIe_9,0.67,NDVIe_9,1.42,NDVIe_9,2.25,NDVIe_9,4.57,NDVIe_9,2.04
NDVIl,1.84,NDVIl,2,NDVIl,3.13,NDVIl,4.91,NDVIl,2.79,NDVIl,3.52
NDVIl_25,5.12,NDVIl_25,8.16,NDVIl_25,5.24,NDVIl_25,2.83,NDVIl_25,2.48,NDVIl_25,10.68
NDVIl_9,6.72,NDVIl_9,16.06,NDVIl_9,13.02,NDVIl_9,2.77,NDVIl_9,2.07,NDVIl_9,8.94
NDVIm,1.26,NDVIm,0.6,NDVIm,0.94,NDVIm,4.41,NDVIm,3.3,NDVIm,2.58
NDVIm_25,1.9,NDVIm_25,1.84,NDVIm_25,3.74,NDVIm_25,3.16,NDVIm_25,2.15,NDVIm_25,2.13
NDVIm_9,2.6,NDVIm_9,2.62,NDVIm_9,3.38,NDVIm_9,2.66,NDVIm_9,2.69,NDVIm_9,18.92
NFFD_,7.06,NFFD_,1.09,NFFD_,3.62,NFFD_,1.82,NFFD_,9.41,NFFD_,7.02
SHM_,3,SHM_,2.22,SHM_,1.86,SHM_,1.66,SHM_,3.68,SHM_,1.8
ba,1.64,ba,1.93,ba,0.6,ba,1.68,ba,6.9,ba,0.73
ba_25,2.29,ba_25,1.88,ba_25,1.96,ba_25,2.72,ba_25,4.45,ba_25,1.67
ba_9,1.38,ba_9,1.04,ba_9,0.82,ba_9,2.54,ba_9,3.88,ba_9,1.11
bc,1.1,bc,0.56,bc,1.27,bc,1.53,bc,1.83,bc,1.11
bc_25,1.9,bc_25,1.11,bc_25,1.4,bc_25,1.94,bc_25,2.29,bc_25,1.89
bc_9,0.89,bc_9,0.58,bc_9,1.03,bc_9,1.47,bc_9,1.02,bc_9,0.94
crop,0.01,crop,0,crop,0.01,crop,0.04,crop,0.06,crop,0.07
crop_25,1.12,crop_25,1.3,crop_25,0.99,crop_25,0.74,crop_25,0.81,crop_25,0.28
crop_9,0.15,crop_9,0.26,crop_9,0.13,crop_9,0.3,crop_9,0.27,crop_9,0.19
dem,3.49,dem,1.65,dem,2.43,dem,3.45,dem,1.42,dem,3.48
dem_mean25,2.76,dem_mean25,1.49,dem_mean25,2.75,dem_mean25,3.57,dem_mean25,1.71,dem_mean25,3.65
dem_mean9,1.27,dem_mean9,1.05,dem_mean9,1.48,dem_mean9,3.61,dem_mean9,0.7,dem_mean9,1.83
dem_sd25,1.35,dem_sd25,0.9,dem_sd25,1.71,dem_sd25,2.14,dem_sd25,2.02,dem_sd25,2.18
dem_sd9,1.9,dem_sd9,1.44,dem_sd9,2.56,dem_sd9,2.19,dem_sd9,2.05,dem_sd9,1.56
forest,0,forest,0,forest,0,forest,0,forest,0,forest,0
forest_25,0.18,forest_25,0.02,forest_25,0.05,forest_25,0.48,forest_25,1.2,forest_25,0.02
forest_9,0.01,forest_9,0.02,forest_9,0,forest_9,0.12,forest_9,0.08,forest_9,0
grass,0.57,grass,0.62,grass,0.08,grass,0.03,grass,0.07,grass,0
grass_25,13.91,grass_25,29.97,grass_25,16.44,grass_25,3.03,grass_25,2.49,grass_25,1.73
grass_9,9.41,grass_9,3.65,grass_9,3.14,grass_9,1,grass_9,0.58,grass_9,0.1
shrub,0,shrub,0.01,shrub,0,shrub,0,shrub,0.04,shrub,0
shrub_25,0.38,shrub_25,0.93,shrub_25,0.37,shrub_25,0.15,shrub_25,0.49,shrub_25,0.1
shrub_9,0.08,shrub_9,0.05,shrub_9,0.1,shrub_9,0.04,shrub_9,0.04,shrub_9,0.02
